Company Name,MMYY,Research & development expenses,MMYY,"Current assets (incl. short term investments, loans & advances)",Current liabilities,Return on total assets,Return on net worth,Return on capital employed,Current ratio (times),Quick ratio (times),Debt to equity ratio (times),Closing Price ,Market Capitalisation,Total Returns,EPS ,Size
Hikal Ltd.,Mar-16,344.3,Mar-19,8900.7,6626.2,5.95,14.46,7.58,1.26,0.65,0.87,174.95,21571.47,1.83,7.64,9.979126887
I O L Chemicals & Pharmaceuticals Ltd.,Mar-10,,Mar-13,2812.7,2758.9,0.42,1.87,0.59,0.88,0.18,1.99,24.85,649.86,1.43,1.25,6.476756955
I O L Chemicals & Pharmaceuticals Ltd.,Mar-11,,Mar-14,2837.6,2084.9,-8.56,-33.61,-11.35,1.19,0.17,1.93,19.3,556.13,-3.26,1.16,6.321002080
I O L Chemicals & Pharmaceuticals Ltd.,Mar-12,,Mar-15,2834,2085,-4.76,-19.4,-6.11,1.12,0.32,2.44,28.7,1367.71,0.17,-13.98,7.220893087
I O L Chemicals & Pharmaceuticals Ltd.,Mar-13,,Mar-16,4149.3,3279.4,0.71,3.27,0.96,1.21,0.4,2.38,76.55,4302.53,0.53,-6.77,8.366958501
I O L Chemicals & Pharmaceuticals Ltd.,Mar-14,14.1,Mar-17,4312.5,3512.4,3.04,13.75,4.35,1.15,0.49,1.97,63.15,3549.38,0.72,1.08,8.174528219
I O L Chemicals & Pharmaceuticals Ltd.,Mar-15,43,Mar-18,5557.5,3245.8,23.65,68.73,33.9,1.63,0.92,0.6,79.5,4468.34,-0.93,3.49,8.404772254
I O L Chemicals & Pharmaceuticals Ltd.,Mar-16,48.3,Mar-19,5557.5,3245.8,23.65,68.73,33.9,1.63,0.92,0.6,190.3,10695.91,-1.22,26.07,9.277616704
Indoco Remedies Ltd.,Mar-10,93.4,Mar-13,3030,1796.2,8.27,13.56,10.94,1.3,0.75,0.2,57.85,5330.9,-2.03,4.6,8.581275358
Indoco Remedies Ltd.,Mar-11,108,Mar-14,3858.1,2325.6,10.38,16.89,14.2,1.25,0.66,0.18,141.25,13016.24,5.33,6.41,9.473953088
Indoco Remedies Ltd.,Mar-12,129,Mar-15,4652,3054.9,8.74,14.64,12.07,1.3,0.74,0.24,363.1,33459.79,0.14,8.94,10.418099698
Indoco Remedies Ltd.,Mar-13,144.3,Mar-16,5745.4,3947.3,6.79,12.32,9.19,1.25,0.75,0.43,287.9,26530.09,2.8,8.7,10.186034840
Indoco Remedies Ltd.,Mar-14,216.7,Mar-17,5411.1,4208.4,3.1,5.92,4.16,1.02,0.53,0.42,249.95,23032.98,-1.21,8.21,10.044682381
Indoco Remedies Ltd.,Mar-15,431.8,Mar-18,5459.5,4548,-0.29,-0.56,-0.39,0.96,0.53,0.45,210.75,19420.69,-13.31,4,9.874094272
Indoco Remedies Ltd.,Mar-16,517.2,Mar-19,5459.5,4548,-0.29,-0.56,-0.39,0.96,0.53,0.45,202.7,18678.88,8.6,0.45,9.835148753
Ipca Laboratories Ltd.,Mar-10,642.6,Mar-13,15827.4,7248.3,16.05,26.83,20.01,2.01,0.88,0.3,526.6,66456.45,3.3,26.32,11.104302125
